product_id,product_key,product_name,product_line,category_id
----------,-----------,------------,------------,-----------
1,FR-R92B-58,HL Road Frame - Black- 58,Road,34
2,FR-R92R-58,HL Road Frame - Red- 58,Road,34
3,HL-U509-R,Sport-100 Helmet- Red,Other Sales,6
4,HL-U509-R,Sport-100 Helmet- Red,Other Sales,6
5,HL-U509-R,Sport-100 Helmet- Red,Other Sales,6
6,HL-U509,Sport-100 Helmet- Black,Other Sales,6
7,HL-U509,Sport-100 Helmet- Black,Other Sales,6
8,HL-U509,Sport-100 Helmet- Black,Other Sales,6
9,SO-B909-M,Mountain Bike Socks- M,Mountain,21
10,SO-B909-L,Mountain Bike Socks- L,Mountain,21
11,HL-U509-B,Sport-100 Helmet- Blue,Other Sales,6
12,HL-U509-B,Sport-100 Helmet- Blue,Other Sales,6
13,HL-U509-B,Sport-100 Helmet- Blue,Other Sales,6
14,CA-1098,AWC Logo Cap,Other Sales,17
15,CA-1098,AWC Logo Cap,Other Sales,17
16,CA-1098,AWC Logo Cap,Other Sales,17
17,LJ-0192-S,Long-Sleeve Logo Jersey- S,Other Sales,19
18,LJ-0192-S,Long-Sleeve Logo Jersey- S,Other Sales,19
19,LJ-0192-S,Long-Sleeve Logo Jersey- S,Other Sales,19
20,LJ-0192-M,Long-Sleeve Logo Jersey- M,Other Sales,19
21,LJ-0192-M,Long-Sleeve Logo Jersey- M,Other Sales,19
22,LJ-0192-M,Long-Sleeve Logo Jersey- M,Other Sales,19
23,LJ-0192-L,Long-Sleeve Logo Jersey- L,Other Sales,19
24,LJ-0192-L,Long-Sleeve Logo Jersey- L,Other Sales,19
25,LJ-0192-L,Long-Sleeve Logo Jersey- L,Other Sales,19
26,LJ-0192-X,Long-Sleeve Logo Jersey- XL,Other Sales,19
27,LJ-0192-X,Long-Sleeve Logo Jersey- XL,Other Sales,19
28,LJ-0192-X,Long-Sleeve Logo Jersey- XL,Other Sales,19
29,FR-R92R-62,HL Road Frame - Red- 62,Road,34
30,FR-R92R-62,HL Road Frame - Red- 62,Road,34
31,FR-R92R-62,HL Road Frame - Red- 62,Road,34
32,FR-R92R-44,HL Road Frame - Red- 44,Road,34
33,FR-R92R-44,HL Road Frame - Red- 44,Road,34
34,FR-R92R-44,HL Road Frame - Red- 44,Road,34
35,FR-R92R-48,HL Road Frame - Red- 48,Road,34
36,FR-R92R-48,HL Road Frame - Red- 48,Road,34
37,FR-R92R-48,HL Road Frame - Red- 48,Road,34
38,FR-R92R-52,HL Road Frame - Red- 52,Road,34
39,FR-R92R-52,HL Road Frame - Red- 52,Road,34
40,FR-R92R-52,HL Road Frame - Red- 52,Road,34
41,FR-R92R-56,HL Road Frame - Red- 56,Road,34
42,FR-R92R-56,HL Road Frame - Red- 56,Road,34
43,FR-R92R-56,HL Road Frame - Red- 56,Road,34
44,FR-R38B-58,LL Road Frame - Black- 58,Road,34
45,FR-R38B-58,LL Road Frame - Black- 58,Road,34
46,FR-R38B-58,LL Road Frame - Black- 58,Road,34
47,FR-R38B-60,LL Road Frame - Black- 60,Road,34
48,FR-R38B-60,LL Road Frame - Black- 60,Road,34
49,FR-R38B-60,LL Road Frame - Black- 60,Road,34
50,FR-R38B-62,LL Road Frame - Black- 62,Road,34
51,FR-R38B-62,LL Road Frame - Black- 62,Road,34
52,FR-R38B-62,LL Road Frame - Black- 62,Road,34
53,FR-R38R-44,LL Road Frame - Red- 44,Road,34
54,FR-R38R-44,LL Road Frame - Red- 44,Road,34
55,FR-R38R-48,LL Road Frame - Red- 48,Road,34
56,FR-R38R-48,LL Road Frame - Red- 48,Road,34
57,FR-R38R-52,LL Road Frame - Red- 52,Road,34
58,FR-R38R-52,LL Road Frame - Red- 52,Road,34
59,FR-R38R-58,LL Road Frame - Red- 58,Road,34
60,FR-R38R-58,LL Road Frame - Red- 58,Road,34
61,FR-R38R-60,LL Road Frame - Red- 60,Road,34
62,FR-R38R-60,LL Road Frame - Red- 60,Road,34
63,FR-R38R-62,LL Road Frame - Red- 62,Road,34
64,FR-R38R-62,LL Road Frame - Red- 62,Road,34
65,FR-R72R-44,ML Road Frame - Red- 44,Road,34
66,FR-R72R-48,ML Road Frame - Red- 48,Road,34
67,FR-R72R-52,ML Road Frame - Red- 52,Road,34
68,FR-R72R-58,ML Road Frame - Red- 58,Road,34
69,FR-R72R-60,ML Road Frame - Red- 60,Road,34
70,FR-R38B-44,LL Road Frame - Black- 44,Road,34
71,FR-R38B-44,LL Road Frame - Black- 44,Road,34
72,FR-R38B-44,LL Road Frame - Black- 44,Road,34
73,FR-R38B-48,LL Road Frame - Black- 48,Road,34
74,FR-R38B-48,LL Road Frame - Black- 48,Road,34
75,FR-R38B-48,LL Road Frame - Black- 48,Road,34
76,FR-R38B-52,LL Road Frame - Black- 52,Road,34
77,FR-R38B-52,LL Road Frame - Black- 52,Road,34
78,FR-R38B-52,LL Road Frame - Black- 52,Road,34
79,FR-M94S-42,HL Mountain Frame - Silver- 42,Mountain,32
80,FR-M94S-42,HL Mountain Frame - Silver- 42,Mountain,32
81,FR-M94S-42,HL Mountain Frame - Silver- 42,Mountain,32
82,FR-M94S-44,HL Mountain Frame - Silver- 44,Mountain,32
83,FR-M94S-52,HL Mountain Frame - Silver- 48,Mountain,32
84,FR-M94S-46,HL Mountain Frame - Silver- 46,Mountain,32
85,FR-M94S-46,HL Mountain Frame - Silver- 46,Mountain,32
86,FR-M94S-46,HL Mountain Frame - Silver- 46,Mountain,32
87,FR-M94B-42,HL Mountain Frame - Black- 42,Mountain,32
88,FR-M94B-42,HL Mountain Frame - Black- 42,Mountain,32
89,FR-M94B-42,HL Mountain Frame - Black- 42,Mountain,32
90,FR-M94B-44,HL Mountain Frame - Black- 44,Mountain,32
91,FR-M94B-48,HL Mountain Frame - Black- 48,Mountain,32
92,FR-M94B-46,HL Mountain Frame - Black- 46,Mountain,32
93,FR-M94B-46,HL Mountain Frame - Black- 46,Mountain,32
94,FR-M94B-46,HL Mountain Frame - Black- 46,Mountain,32
95,FR-M94B-38,HL Mountain Frame - Black- 38,Mountain,32
96,FR-M94B-38,HL Mountain Frame - Black- 38,Mountain,32
97,FR-M94B-38,HL Mountain Frame - Black- 38,Mountain,32
98,FR-M94S-38,HL Mountain Frame - Silver- 38,Mountain,32
99,FR-M94S-38,HL Mountain Frame - Silver- 38,Mountain,32
100,FR-M94S-38,HL Mountain Frame - Silver- 38,Mountain,32
101,BK-R93R-62,Road-150 Red- 62,Road,14
102,BK-R93R-44,Road-150 Red- 44,Road,14
103,BK-R93R-48,Road-150 Red- 48,Road,14
104,BK-R93R-52,Road-150 Red- 52,Road,14
105,BK-R93R-56,Road-150 Red- 56,Road,14
106,BK-R68R-58,Road-450 Red- 58,Road,14
107,BK-R68R-60,Road-450 Red- 60,Road,14
108,BK-R68R-44,Road-450 Red- 44,Road,14
109,BK-R68R-48,Road-450 Red- 48,Road,14
110,BK-R68R-52,Road-450 Red- 52,Road,14
