product_price_id,product_id,start_date_id,end_date_id,cost,is_current
----------------,----------,-------------,-----------,----,----------
1,1,20030701,NULL,NULL,1
2,2,20030701,NULL,NULL,1
3,3,20110701,20071228,12.00,0
4,3,20120701,20081227,14.00,0
5,3,20130701,NULL,13.00,1
6,4,20110701,20071228,12.00,0
7,4,20120701,20081227,14.00,0
8,4,20130701,NULL,13.00,1
9,5,20110701,20071228,12.00,0
10,5,20120701,20081227,14.00,0
11,5,20130701,NULL,13.00,1
12,6,20110701,20071228,12.00,0
13,6,20120701,20081227,14.00,0
14,6,20130701,NULL,13.00,1
15,7,20110701,20071228,12.00,0
16,7,20120701,20081227,14.00,0
17,7,20130701,NULL,13.00,1
18,8,20110701,20071228,12.00,0
19,8,20120701,20081227,14.00,0
20,8,20130701,NULL,13.00,1
21,9,20110701,20071228,3.00,0
22,10,20110701,20071228,3.00,0
23,11,20110701,20071228,12.00,0
24,11,20120701,20081227,14.00,0
25,11,20130701,NULL,13.00,1
26,12,20110701,20071228,12.00,0
27,12,20120701,20081227,14.00,0
28,12,20130701,NULL,13.00,1
29,13,20110701,20071228,12.00,0
30,13,20120701,20081227,14.00,0
31,13,20130701,NULL,13.00,1
32,14,20110701,20071228,6.00,0
33,14,20120701,20081227,5.00,0
34,14,20130701,NULL,7.00,1
35,15,20110701,20071228,6.00,0
36,15,20120701,20081227,5.00,0
37,15,20130701,NULL,7.00,1
38,16,20110701,20071228,6.00,0
39,16,20120701,20081227,5.00,0
40,16,20130701,NULL,7.00,1
41,17,20110701,20071228,32.00,0
42,17,20120701,20081227,29.00,0
43,17,20130701,NULL,38.00,1
44,18,20110701,20071228,32.00,0
45,18,20120701,20081227,29.00,0
46,18,20130701,NULL,38.00,1
47,19,20110701,20071228,32.00,0
48,19,20120701,20081227,29.00,0
49,19,20130701,NULL,38.00,1
50,20,20110701,20071228,32.00,0
51,20,20120701,20081227,29.00,0
52,20,20130701,NULL,38.00,1
53,21,20110701,20071228,32.00,0
54,21,20120701,20081227,29.00,0
55,21,20130701,NULL,38.00,1
56,22,20110701,20071228,32.00,0
57,22,20120701,20081227,29.00,0
58,22,20130701,NULL,38.00,1
59,23,20110701,20071228,32.00,0
60,23,20120701,20081227,29.00,0
61,23,20130701,NULL,38.00,1
62,24,20110701,20071228,32.00,0
63,24,20120701,20081227,29.00,0
64,24,20130701,NULL,38.00,1
65,25,20110701,20071228,32.00,0
66,25,20120701,20081227,29.00,0
67,25,20130701,NULL,38.00,1
68,26,20110701,20071228,32.00,0
69,26,20120701,20081227,29.00,0
70,26,20130701,NULL,38.00,1
71,27,20110701,20071228,32.00,0
72,27,20120701,20081227,29.00,0
73,27,20130701,NULL,38.00,1
74,28,20110701,20071228,32.00,0
75,28,20120701,20081227,29.00,0
76,28,20130701,NULL,38.00,1
77,29,20110701,20071228,748.00,0
78,29,20120701,20081227,722.00,0
79,29,20130701,NULL,869.00,1
80,30,20110701,20071228,748.00,0
81,30,20120701,20081227,722.00,0
82,30,20130701,NULL,869.00,1
83,31,20110701,20071228,748.00,0
84,31,20120701,20081227,722.00,0
85,31,20130701,NULL,869.00,1
86,32,20110701,20071228,748.00,0
87,32,20120701,20081227,722.00,0
88,32,20130701,NULL,869.00,1
89,33,20110701,20071228,748.00,0
90,33,20120701,20081227,722.00,0
91,33,20130701,NULL,869.00,1
92,34,20110701,20071228,748.00,0
93,34,20120701,20081227,722.00,0
94,34,20130701,NULL,869.00,1
95,35,20110701,20071228,748.00,0
96,35,20120701,20081227,722.00,0
97,35,20130701,NULL,869.00,1
98,36,20110701,20071228,748.00,0
99,36,20120701,20081227,722.00,0
100,36,20130701,NULL,869.00,1
101,37,20110701,20071228,748.00,0
102,37,20120701,20081227,722.00,0
103,37,20130701,NULL,869.00,1
104,38,20110701,20071228,748.00,0
105,38,20120701,20081227,722.00,0
106,38,20130701,NULL,869.00,1
107,39,20110701,20071228,748.00,0
108,39,20120701,20081227,722.00,0
109,39,20130701,NULL,869.00,1
110,40,20110701,20071228,748.00,0
111,40,20120701,20081227,722.00,0
112,40,20130701,NULL,869.00,1
113,41,20110701,20071228,748.00,0
114,41,20120701,20081227,722.00,0
115,41,20130701,NULL,869.00,1
116,42,20110701,20071228,748.00,0
117,42,20120701,20081227,722.00,0
118,42,20130701,NULL,869.00,1
119,43,20110701,20071228,748.00,0
120,43,20120701,20081227,722.00,0
121,43,20130701,NULL,869.00,1
122,44,20110701,20071228,176.00,0
123,44,20120701,20081227,170.00,0
124,44,20130701,NULL,205.00,1
125,45,20110701,20071228,176.00,0
126,45,20120701,20081227,170.00,0
127,45,20130701,NULL,205.00,1
128,46,20110701,20071228,176.00,0
129,46,20120701,20081227,170.00,0
130,46,20130701,NULL,205.00,1
131,47,20110701,20071228,176.00,0
132,47,20120701,20081227,170.00,0
133,47,20130701,NULL,205.00,1
134,48,20110701,20071228,176.00,0
135,48,20120701,20081227,170.00,0
136,48,20130701,NULL,205.00,1
137,49,20110701,20071228,176.00,0
138,49,20120701,20081227,170.00,0
139,49,20130701,NULL,205.00,1
140,50,20110701,20071228,176.00,0
141,50,20120701,20081227,170.00,0
142,50,20130701,NULL,205.00,1
143,51,20110701,20071228,176.00,0
144,51,20120701,20081227,170.00,0
145,51,20130701,NULL,205.00,1
146,52,20110701,20071228,176.00,0
147,52,20120701,20081227,170.00,0
148,52,20130701,NULL,205.00,1
149,53,20110701,20071228,181.00,0
150,53,20120701,20081227,187.00,0
151,54,20110701,20071228,181.00,0
152,54,20120701,20081227,187.00,0
153,55,20110701,20071228,181.00,0
154,55,20120701,20081227,187.00,0
155,56,20110701,20071228,181.00,0
156,56,20120701,20081227,187.00,0
157,57,20110701,20071228,181.00,0
158,57,20120701,20081227,187.00,0
159,58,20110701,20071228,181.00,0
160,58,20120701,20081227,187.00,0
161,59,20110701,20071228,181.00,0
162,59,20120701,20081227,187.00,0
163,60,20110701,20071228,181.00,0
164,60,20120701,20081227,187.00,0
165,61,20110701,20071228,181.00,0
166,61,20120701,20081227,187.00,0
167,62,20110701,20071228,181.00,0
168,62,20120701,20081227,187.00,0
169,63,20110701,20071228,181.00,0
170,63,20120701,20081227,187.00,0
171,64,20110701,20071228,181.00,0
172,64,20120701,20081227,187.00,0
173,65,20110701,20071228,352.00,0
174,66,20110701,20071228,352.00,0
175,67,20110701,20071228,352.00,0
176,68,20110701,20071228,352.00,0
177,69,20110701,20071228,352.00,0
178,70,20110701,20071228,176.00,0
179,70,20120701,20081227,170.00,0
180,70,20130701,NULL,205.00,1
181,71,20110701,20071228,176.00,0
182,71,20120701,20081227,170.00,0
183,71,20130701,NULL,205.00,1
184,72,20110701,20071228,176.00,0
185,72,20120701,20081227,170.00,0
186,72,20130701,NULL,205.00,1
187,73,20110701,20071228,176.00,0
188,73,20120701,20081227,170.00,0
189,73,20130701,NULL,205.00,1
190,74,20110701,20071228,176.00,0
191,74,20120701,20081227,170.00,0
192,74,20130701,NULL,205.00,1
193,75,20110701,20071228,176.00,0
194,75,20120701,20081227,170.00,0
195,75,20130701,NULL,205.00,1
196,76,20110701,20071228,176.00,0
197,76,20120701,20081227,170.00,0
198,76,20130701,NULL,205.00,1
199,77,20110701,20071228,176.00,0
200,77,20120701,20081227,170.00,0
201,77,20130701,NULL,205.00,1
202,78,20110701,20071228,176.00,0
203,78,20120701,20081227,170.00,0
204,78,20130701,NULL,205.00,1
205,79,20110701,20071228,624.00,0
206,79,20120701,20081227,661.00,0
207,79,20130701,NULL,747.00,1
208,80,20110701,20071228,624.00,0
209,80,20120701,20081227,661.00,0
210,80,20130701,NULL,747.00,1
211,81,20110701,20071228,624.00,0
212,81,20120701,20081227,661.00,0
213,81,20130701,NULL,747.00,1
214,82,20110701,20071228,707.00,0
215,83,20110701,20071228,707.00,0
216,84,20110701,20071228,624.00,0
217,84,20120701,20081227,661.00,0
218,84,20130701,NULL,747.00,1
219,85,20110701,20071228,624.00,0
220,85,20120701,20081227,661.00,0
221,85,20130701,NULL,747.00,1
222,86,20110701,20071228,624.00,0
223,86,20120701,20081227,661.00,0
224,86,20130701,NULL,747.00,1
225,87,20110701,20071228,617.00,0
226,87,20120701,20081227,654.00,0
227,87,20130701,NULL,739.00,1
228,88,20110701,20071228,617.00,0
229,88,20120701,20081227,654.00,0
230,88,20130701,NULL,739.00,1
231,89,20110701,20071228,617.00,0
232,89,20120701,20081227,654.00,0
233,89,20130701,NULL,739.00,1
234,90,20110701,20071228,699.00,0
235,91,20110701,20071228,699.00,0
236,92,20110701,20071228,617.00,0
237,92,20120701,20081227,654.00,0
238,92,20130701,NULL,739.00,1
239,93,20110701,20071228,617.00,0
240,93,20120701,20081227,654.00,0
241,93,20130701,NULL,739.00,1
242,94,20110701,20071228,617.00,0
243,94,20120701,20081227,654.00,0
244,94,20130701,NULL,739.00,1
245,95,20110701,20071228,617.00,0
246,95,20120701,20081227,654.00,0
247,95,20130701,NULL,739.00,1
248,96,20110701,20071228,617.00,0
249,96,20120701,20081227,654.00,0
250,96,20130701,NULL,739.00,1
251,97,20110701,20071228,617.00,0
252,97,20120701,20081227,654.00,0
253,97,20130701,NULL,739.00,1
254,98,20110701,20071228,624.00,0
255,98,20120701,20081227,661.00,0
256,98,20130701,NULL,747.00,1
257,99,20110701,20071228,624.00,0
258,99,20120701,20081227,661.00,0
259,99,20130701,NULL,747.00,1
260,100,20110701,20071228,624.00,0
261,100,20120701,20081227,661.00,0
262,100,20130701,NULL,747.00,1
263,101,20110701,20071228,2171.00,0
264,102,20110701,20071228,2171.00,0
265,103,20110701,20071228,2171.00,0
266,104,20110701,20071228,2171.00,0
267,105,20110701,20071228,2171.00,0
268,106,20110701,20071228,885.00,0
