
(397 rows affected)
prd_id,clean_prd_key,cat_id,clean_prd_name,clean_prd_cost,clean_prd_line,prd_start_dt,prd_end_dt
------,-------------,------,--------------,--------------,--------------,------------,----------
210,FR-R92B-58,CO-RF,HL Road Frame - Black- 58,.00,Road,2003-07-01,NULL
211,FR-R92R-58,CO-RF,HL Road Frame - Red- 58,.00,Road,2003-07-01,NULL
212,HL-U509-R,AC-HE,Sport-100 Helmet- Red,12.00,Other Sales,2011-07-01,2007-12-28
213,HL-U509-R,AC-HE,Sport-100 Helmet- Red,14.00,Other Sales,2012-07-01,2008-12-27
214,HL-U509-R,AC-HE,Sport-100 Helmet- Red,13.00,Other Sales,2013-07-01,NULL
215,HL-U509,AC-HE,Sport-100 Helmet- Black,12.00,Other Sales,2011-07-01,2007-12-28
216,HL-U509,AC-HE,Sport-100 Helmet- Black,14.00,Other Sales,2012-07-01,2008-12-27
217,HL-U509,AC-HE,Sport-100 Helmet- Black,13.00,Other Sales,2013-07-01,NULL
218,SO-B909-M,CL-SO,Mountain Bike Socks- M,3.00,Mountain,2011-07-01,2007-12-28
219,SO-B909-L,CL-SO,Mountain Bike Socks- L,3.00,Mountain,2011-07-01,2007-12-28
220,HL-U509-B,AC-HE,Sport-100 Helmet- Blue,12.00,Other Sales,2011-07-01,2007-12-28
221,HL-U509-B,AC-HE,Sport-100 Helmet- Blue,14.00,Other Sales,2012-07-01,2008-12-27
222,HL-U509-B,AC-HE,Sport-100 Helmet- Blue,13.00,Other Sales,2013-07-01,NULL
223,CA-1098,CL-CA,AWC Logo Cap,6.00,Other Sales,2011-07-01,2007-12-28
224,CA-1098,CL-CA,AWC Logo Cap,5.00,Other Sales,2012-07-01,2008-12-27
225,CA-1098,CL-CA,AWC Logo Cap,7.00,Other Sales,2013-07-01,NULL
226,LJ-0192-S,CL-JE,Long-Sleeve Logo Jersey- S,32.00,Other Sales,2011-07-01,2007-12-28
227,LJ-0192-S,CL-JE,Long-Sleeve Logo Jersey- S,29.00,Other Sales,2012-07-01,2008-12-27
228,LJ-0192-S,CL-JE,Long-Sleeve Logo Jersey- S,38.00,Other Sales,2013-07-01,NULL
229,LJ-0192-M,CL-JE,Long-Sleeve Logo Jersey- M,32.00,Other Sales,2011-07-01,2007-12-28
230,LJ-0192-M,CL-JE,Long-Sleeve Logo Jersey- M,29.00,Other Sales,2012-07-01,2008-12-27
231,LJ-0192-M,CL-JE,Long-Sleeve Logo Jersey- M,38.00,Other Sales,2013-07-01,NULL
232,LJ-0192-L,CL-JE,Long-Sleeve Logo Jersey- L,32.00,Other Sales,2011-07-01,2007-12-28
233,LJ-0192-L,CL-JE,Long-Sleeve Logo Jersey- L,29.00,Other Sales,2012-07-01,2008-12-27
234,LJ-0192-L,CL-JE,Long-Sleeve Logo Jersey- L,38.00,Other Sales,2013-07-01,NULL
235,LJ-0192-X,CL-JE,Long-Sleeve Logo Jersey- XL,32.00,Other Sales,2011-07-01,2007-12-28
236,LJ-0192-X,CL-JE,Long-Sleeve Logo Jersey- XL,29.00,Other Sales,2012-07-01,2008-12-27
237,LJ-0192-X,CL-JE,Long-Sleeve Logo Jersey- XL,38.00,Other Sales,2013-07-01,NULL
238,FR-R92R-62,CO-RF,HL Road Frame - Red- 62,748.00,Road,2011-07-01,2007-12-28
239,FR-R92R-62,CO-RF,HL Road Frame - Red- 62,722.00,Road,2012-07-01,2008-12-27
240,FR-R92R-62,CO-RF,HL Road Frame - Red- 62,869.00,Road,2013-07-01,NULL
241,FR-R92R-44,CO-RF,HL Road Frame - Red- 44,748.00,Road,2011-07-01,2007-12-28
242,FR-R92R-44,CO-RF,HL Road Frame - Red- 44,722.00,Road,2012-07-01,2008-12-27
243,FR-R92R-44,CO-RF,HL Road Frame - Red- 44,869.00,Road,2013-07-01,NULL
244,FR-R92R-48,CO-RF,HL Road Frame - Red- 48,748.00,Road,2011-07-01,2007-12-28
245,FR-R92R-48,CO-RF,HL Road Frame - Red- 48,722.00,Road,2012-07-01,2008-12-27
246,FR-R92R-48,CO-RF,HL Road Frame - Red- 48,869.00,Road,2013-07-01,NULL
247,FR-R92R-52,CO-RF,HL Road Frame - Red- 52,748.00,Road,2011-07-01,2007-12-28
248,FR-R92R-52,CO-RF,HL Road Frame - Red- 52,722.00,Road,2012-07-01,2008-12-27
249,FR-R92R-52,CO-RF,HL Road Frame - Red- 52,869.00,Road,2013-07-01,NULL
250,FR-R92R-56,CO-RF,HL Road Frame - Red- 56,748.00,Road,2011-07-01,2007-12-28
251,FR-R92R-56,CO-RF,HL Road Frame - Red- 56,722.00,Road,2012-07-01,2008-12-27
252,FR-R92R-56,CO-RF,HL Road Frame - Red- 56,869.00,Road,2013-07-01,NULL
253,FR-R38B-58,CO-RF,LL Road Frame - Black- 58,176.00,Road,2011-07-01,2007-12-28
254,FR-R38B-58,CO-RF,LL Road Frame - Black- 58,170.00,Road,2012-07-01,2008-12-27
255,FR-R38B-58,CO-RF,LL Road Frame - Black- 58,205.00,Road,2013-07-01,NULL
256,FR-R38B-60,CO-RF,LL Road Frame - Black- 60,176.00,Road,2011-07-01,2007-12-28
257,FR-R38B-60,CO-RF,LL Road Frame - Black- 60,170.00,Road,2012-07-01,2008-12-27
258,FR-R38B-60,CO-RF,LL Road Frame - Black- 60,205.00,Road,2013-07-01,NULL
259,FR-R38B-62,CO-RF,LL Road Frame - Black- 62,176.00,Road,2011-07-01,2007-12-28
260,FR-R38B-62,CO-RF,LL Road Frame - Black- 62,170.00,Road,2012-07-01,2008-12-27
261,FR-R38B-62,CO-RF,LL Road Frame - Black- 62,205.00,Road,2013-07-01,NULL
262,FR-R38R-44,CO-RF,LL Road Frame - Red- 44,181.00,Road,2011-07-01,2007-12-28
263,FR-R38R-44,CO-RF,LL Road Frame - Red- 44,187.00,Road,2012-07-01,2008-12-27
264,FR-R38R-48,CO-RF,LL Road Frame - Red- 48,181.00,Road,2011-07-01,2007-12-28
265,FR-R38R-48,CO-RF,LL Road Frame - Red- 48,187.00,Road,2012-07-01,2008-12-27
266,FR-R38R-52,CO-RF,LL Road Frame - Red- 52,181.00,Road,2011-07-01,2007-12-28
267,FR-R38R-52,CO-RF,LL Road Frame - Red- 52,187.00,Road,2012-07-01,2008-12-27
268,FR-R38R-58,CO-RF,LL Road Frame - Red- 58,181.00,Road,2011-07-01,2007-12-28
269,FR-R38R-58,CO-RF,LL Road Frame - Red- 58,187.00,Road,2012-07-01,2008-12-27
270,FR-R38R-60,CO-RF,LL Road Frame - Red- 60,181.00,Road,2011-07-01,2007-12-28
271,FR-R38R-60,CO-RF,LL Road Frame - Red- 60,187.00,Road,2012-07-01,2008-12-27
272,FR-R38R-62,CO-RF,LL Road Frame - Red- 62,181.00,Road,2011-07-01,2007-12-28
